item_name,item_type,ingredients
Parle-G Original Gluco Biscuits,snack,"wheat flour , sugar, edible vegetable oil (palm oil), invert sugar syrup [sugar, citric acid], raising agents [ 503 ( ii ), 500 (ii) ], iodised salt, milk solids , emulsifier [ di-acetyl tartaric acid esters of mono and di-glycerides of edible vegetable oils] and improver [papain 1101 (ii)). contains added flavours (artificial flavouring substances-vanilla)"
Britannia GoodDay Choco Chip,snack,"refined wheat flour, sugar, edible vegetable oil(palm), chocolate chips [sugar, cocoa solids, cocoa butter, dextrose, emulsifier (322) and added natural flavouring substances (vanilla)] chocochips [sugar edible hydrogenated vegetable oil (palm), cocoa solids, dextrose, emulsifier(322) and added natural flavouring substances (vanilla)], invert syrup raising agents [503(ii),500(ii),450(i)], cocoa solids, edible common salt and emulsifiers (322,472e) contains permitted natural food colour (150d) and added flavours [nature identical and artificial flavouring substances (chocolate & vanilla)]"
BTW Jeera Special,snack,"refined wheat flour, bakery shortening, sugar,common salt, glucose powder, milk powder, custard powder, cumin seeds raising agent [503ii)] & baking powder [500ii)] contains added flavour (c2101 & s3294) (natural identical and artificial flavouring substances)"
Cream Bell Choco Vanilla,drink,"inner layer : water, sugar, milk solids, edible vegetable oil (refined palm kemel oil), maltodextrin, permitted emulsifying agents (433, 471) & stabilzing agents (407, 410,412, 466) outer layer : choco covering {edible vegetable oil (refined palm kermel oil), sugar, hydrogenated vegetable fat, cocoa solids} added nature identical and artificial (vanilla) flavouring substances frozen dessert contains edible vegetable oil"
Sunfeast Bounce Choco Twist,snack,"wheat flour, sugar, refined palm oil, invert syrup, raising agents [ins 503(ii), ins 500(ii), ins 450(i)], cocoa solids , edible common salt, emulsifiers (ins 322(i), ins 435), milk solids and starch. contains permitted natural colour(s) (ins 150c, ins 150d) and synthetic food colour(s) (ins 122 and added flavour(s) (nature identical flavouring substances chocolate, nut and artificial flavouring substances chocolate, vanilla milk)"
Priyagold Snakker,snack,"sugar, hydrogenated vegetable oil (palm), wheat flour, cocoa solids , milk solids , emulsifiers (e322, e442, e476), iodised salt, leaving agent [e 500(ii)], dough conditioner (e223), contains added flavour [natural and nature identical and artificial (ethyl vanillin) flavouring substance. hydrogenated vegetable fat used contains transfat"
Lays masala,drink,"potato, edible vegetable oil (palmolein oil, rice bran oil), &quot;spices & condiments (onion powder, chili powder, dried mango powder, coriander seed powder, ginger powder, garlic powder, black pepper powder, spices extract, turmeric powder), lodised salt, black salt, tomato powder, citric acid (330). sugar, contains added flavour (natural & nature identical"
Anmol Yummy Elaichi Flavoured Sandwich,snack,"refined wheat flour, sugar, edible vegetable oils (palm), hydrogented edible vegetable fat, invert syrup, raising agents [ins 503(ii), ins 500(ii)], edible starch, liquid glucose, edible common salt permitted emulsifiers (ins 322, ins 471) contains permitted synthetic food colours (ins 102, ins 133) and added flavours (nature identical flavouring substance-cardamom & artificial flavouring substance-milk)"
Cream Bell Fantasia Ice Cream Sandwich,sweet,"inner layer : water, milk solids, sugar, maltodextrin, permitted emulsifying agents (433, 471) & stabilizing agents (407,412) outer layer : choco biscuit: wheat flour, sugar, edible vegetable oil (refined palm kernel oil), cocoa powder, milk solids, salt, raising agents [500 (ii), 503 (ii)], emulsifier (322) & antioxidant (ins 319) contains permitted natural food colour (150c) and added nature identical and artificial (vanilla) flavouring substances"
Kwality Walls Cassatta,sweet,"medium fat frozen dessert 3 flavoured frozen dessert with vegetarian cake water, vegetarian cake - (water, wheat flour, sugar, milk solids, soyabean oil, raising agents 500 (ii), 541(i), starch, emulsifiers - 473, 477, 471, 481(1), stabilizer 415, dextrose, salt, maltodextrin contains nature identical & artificial vanilla flavouring substances), sugar, cashew nuts , palm oil, milk solids, glazed fruits (papaya pieces, sugar, acidity regulator-330. contains permitted class ii preservative - 211 and synthetic food colours 102, 110, 122, 124), liquid glucose, vegetable protein (soy), emulsifier 471, stabilizers - 410, 412, 407, acidity regulator 330. contains permitted synthetic food colours-102, 110 and added flavours-natural and nature identical flavouring substances. frozen desserts contain edible vegetable oil"
saunf,food,"more choice we know how proud you feel when your family savours a meal with as much enthusiasm as you make it. which is why we ensure that every pack has only the cleanest and highestquality staples. ir's part of our promise to give yoe qualiy that makes you proud. store ider coal and dry condition. after opening the pacs, kee he contents in an air tight container to presery a marketed please check for promotional offers if any lic na. 10012022001022 8903023266934 mr r 430 ked on 06 07.2018 fore :02 01201 fectured"
tata tea gemini,drink,tatatea emun ssl 10 ingre net w: 500 g mrp incl. of all taxes manufactured
Haldirams Whoopies,snack,"corn meal, edible vegetable oil ( palmolein oil ), cheese powder , sugar powder, maltodextrin edible common salt, spices and condiments, lactose, hydrolysed vegetable protein acidity regulator (ins 330, ins 270). contains added flavour (natural & nature flavouring substances)"
Anmol Yummy Orange Flavoured Sandwich,snack,"refined wheat flour, sugar, vegetable oils (palm), hydrogenated edible vegetable fat, raising agents [ins 503(ii), ins 500(ii)], invert syrup, edible common salt, liquid glucose starch, permitted emulsifiers (ins 322, ins 471), dextrose. contains permitted synthetic food colours (ins 102, ins 110) and added flavours (nature identical flavouring substance-orange & artificial flavouring substance-orang)"
Parle Hide  Seek Cashew Butter,snack,"wheat flour​, edible vegetable oil (palm oil), sugar, cashew bits ), invert sugar syrup, butter , milk solids, raising agents [ 503(ii), 500(ii) ] edible common salt, emulsifier [di-acetyl tartaric acid esters of mono and di-glycerides of edible vegetable oils] and dough conditioner [223] contains added flavours ( artificial flavouring substances - butter and cashew )"
Amul cheese,food,"cheese, emulsifying salts (452, 339, 331), iodized sait, class ii preservatives (200, 234)"
Bingo Mad Angles Tomato Madness,snack,"rice grits, seasoning mix [refined palmolein, refined sugar iodised salt, tomato powder , spices & condiments, maltodextri̇n,onion powder, garlic powder, acidity regulators (ins 330, ins 296),milk solids\, anticaking agent (ins 551),yeast extract & flavour enhancer (ins 627) refined palmolei̇n, corn grits, gram grits and acidity regulator (ins 500(ii). used as natural flavouring agent. contains added flavour(s) (natural flavours & natural flavouring substances and nature identical flavouring substances)"
Bingo Mad Angles Chaat Masti,snack,"rice grits,seasoning mix (refined palmolein, refined sugar condiments, iodised salt, wheat flour, black salt, tomato powder (0.3 powder , acidity regulators (ins 296, ins 334, ins 330), hydrolyzed protein, anticaking agent (ins 551) & flavour enhancers (ins 627) refined palmolein, corn grits, gram grits and acidity regulator (ins 500[ii]) used as natural flavouring agent contains added flavour(s) (natural flavours and natural flavouring substances and nature identical flavouring substances)"
Cavins Cavins butterscotch milkshake,drink,"milk sugar, stabilizers (ins 415, ins 412, ins 407), sequestering agent (ins 452(i) edible common salt, cashew powder , and emulsifier (ins 436). contains permitted synthetic food colour (ins 1101 and added flavour nature identical and artificial (butterscotch flavouring substances)"
Lays West Indies Hot n Sweet Chilli Potato Chips,drink,"potato, edible vegetable oil (palmolein oil), *seasoning (sugar, maltodextrin, lodised salt, flavour (natural and nature identical flavouring substances), &quot;spices & condiments, flavour enhancers (627 & 631), edible vegetable oil (palm, sunflower, peanut), hydrolysed vegetable protein, anticaking agent (551), cocoa solids, lactose). &quot;as flavouring agent. &quot;contains onion and garlic"
Cadbury Dairy Milk - Home Treats,snack,energy kcal 523 protein g 8.1 carbohydrate g 60.5 (of which sugar) g 57.4 fat g 29.0 (of which saturated fat) g 17.6 trans fat g 0.1 sodium mg 152 fibre g 2.1
Amul pasteurised butter,food,"butter,iodized salt, natural colour (annatto) allergen information:contains milk"
Minute Maid PROTEIN TOTAL FAT pany,drink,"water, sugar, mango pulp , guava pulp , banana puree , papaya puree , acidity regulator (e330), antioxydant (e300), colorant (161g)"
Yellow diamond Plain salted potato chips,drink,"handpicked potatoes, edible vegetable (palmolein) & salt oil"
Dr. Oetker Pizza topping sauce,food,"water, tomato paste , serve size-30g pack comans 3 nutritional information sugar, refined soyabean oil, milk solids, energy (kcal) onions, lodised salt, vegetables , mixed spices, cheese , acidity regulators (ins260, ins330), preservative (ins211), herbs, antioxidant (ins319). contains milk. how to use: spread pizza topping on pizza base. no need to add further toppings as this all-in-one topping contains veggies & cheese. just sprinkle grated cheese (optional) & bake to enjoy restaurant like pizza at home"
DEOLEO Figaro Olive Oil,drink,edible olive oil
Dilbahar Heeng ki tikiya,food,ingredients ( fra 0.9% ida (ferula narthex boiss) asafoe 2% 0.10% 0.9% 0.9% 0.2% 18.4% 0.06% elackpepper-(piper nigrum linn.) rlong long piper longum linn.) pepper cumin dry ginger pepper dry mango peeplamool (piper longum linn.) neembusat (citrus medica extract) black sa (black salt) salt sugar (cuminum cyminum linn.) (zingiber officinale rosc.) capsicum annum linn.) (mangifera indica linn.) 0.010% (salt) sugar) 0.3% 68% q.s
United Foods Crunchy Nutty Peanut Butter,drink,"roasted _peanuts_, sugar, salt, fully hydrogenated _soya_ oil"
Mountain Dew,drink,"carbonated water, sugar, acidity regulators, preservatives, caffiene"
Anmol Dream LITE,food,"refined wheat flour, edible vegetable oils (palmi, sugar, raising agents [ins 503(), ins 500ti). liquid glucose, edible common salt, besan, invert syrup, malt extract, milk solids, dehydrated & powdered vegetables cabbage, carrot & coriander leaves) 0.9%, permitted emulsifiers ins 322 ins 471 . spices & condiments ajowan, green chilli 0.12%, lmprove r (ins 1101 1 contains permitted synthetic food colours (ins 102, ins 124] and added flavours (nature identical flavouring substance mixed spice & artificial flavouring substance, butter!"
Kelloggs Chocos Fills,drink,"multi grain flour mix (rice flour, whole oats flour, whole wheat flour), choco cream (sugar, edible vegetable oil (sunflower oil, palm oil), cocoa solids , milk solids, emulsifier (ins 322(i))). sugar, cocoa powder , iodized salt, vitamins"
McCain Potato Cheese Shotz,drink,"potatoes , proessed cheese (cheddar cheese, milk solids, emulsifier [ins 331], edible common salt, permitted class ii preservative [ins 200]), bread crumbs (wheat flour, yeast, edible common salt), permitted class ii preservative [ins 200], antioxidant [ins 300]), palmolein oil, batter (wheat flour, corn starch, corn flour, edible common salt, thickner [ins 466]), seasoning (acidity regulators [ins 330, ins 270], flavour emhancer [ins 627], anticaking agent [ins 551]), corn flour, onion powder, edible common salt, red chilli flakes, parsley. contains added flavours: natural and nature identical flavouring substances contains wheat, soya and milk derivatives"
Idly  Dosa Batter,food,"ro-purified water , rice , urad dal, fenugreek and iodised salt"
JK Jeera,drink,"calories 384.02cal, total_fat 18.90g, sodium 140mg, total_carbohydrates 38.10g, protein 15.38g, vitamine_a 13micron, vitamine_c 1.20mg, calcium 790mg, iron 15.60mg, sugar 1g, trans_fat 0g, saturated_fat 1.34g,mono_unsaturatedfat 13.77g"
Nutricane OMG Oh My Ganna Ginger Groove,drink,"real sugarcane, salt, antioxidant (ins 300), acidity regulator (ins 334), stabilizer (ins 440, ins 337), water (for maintaining desired brix), contains permitted natural flavour & natural identical colouring substances (ins 141[i])"
Nutricane OMG Oh My Ganna Cumin Crush,drink,"real sugarcane, salt, antioxidant (ins 300), acidity regulator (ins 334), stabilizer (ins 440, ins 337), water (for maintaining desired brix), contains permitted natural flavour & natural identical colouring substances (ins 141[i])"
Chings Manchow instant soup,food,"potato starch, dried glucose syrup,iodised salt, dehydrated vegetables[carrot,french beans,parsley, cabbage], sugar, dehydrated onion,soy sauce powder (soyabean,wheat,salt) , dehydrated garlic, flavour inhancer (ins 635) ,mixed spices(chilli powder,pepper powder), natural colour (ins 150d), acidity regulator (ins 296), anticaking agent(ins 551), sunflower oil, thickener (ins 415), natural flavouring substances"
Mc Cain Smiles,snack,"potato 62.84%, potato flakes , palmolein oil, corn flour, edile common salt"
bikano bhujia,snack,"husked dew gram flour , edible vegetable oil (contains one or more of the following: palmolein oil, cottonseed oil and ricebran oil), chickpea flour, lodized salt, mixed spices (red chilly powder, black pepper powder, clove powder, dry ginger powder, long pepper powder, mace powder, fennel powder, nutmeg powder, cardamom powder, asafoetida). made in a facility that processes wheat, oats, peanuts, tree nuts, soy, milk and sesame. store in a cool, dry and hygienic place away from air and direct sunlight"
Cadbury Nutties,food,"' ‘ mmelm- per 1009‘ v 'hﬂﬂﬁﬁiﬁl‘ 3n, _ . ' l. $753135; sag” ‘ ; v. eliergv keai 514 77 protein 9 5.7 ¥ 7 ' carbohydrate 51 ' 64] j (ofwhich sugars) g 585 path? &quot;7 ' 25.4”, [of which samrated fat)g 13.8 rah? f515“ '7 7 0” ’ sodium mg ﬁbre g‘ ' ' packagingmuterialhﬂdj ~ packaging india pvt. lnl . ,, foadlchcn)~21211ppccipvi’ijsn2mz { azsrszmmouonms mu ms ormmmn 0°“ nat wt. 309"
Monaco Cheeslings Classic,snack,"wheat flour, edible vegetable oils (palmolein oil, palm oil), sugar, edible common salt, cheese 1.8%, yeast, raising agents, invert sugar syrup, spices and condiments (mustard powder), acidity regulators, emuslifier, dough conditioner, added flavours (artificial flavouring substances -black pepper, capsicum and cheese)"
Lays Lays Chile Limon 20rs,snack,"ca, mirl lay's is the registereu cor feedback or queries, write to the consumer services manager, pepsico india holdings pvt, ltd,, p,o, box 27, dlf qutab enclave, phase-1, gurugram-122002, haryana, india, or call us at 1800 22 4020 cr email us at consumer,feedback@pepsico,com proprietary food - potato chips (15,1) as compared to previous lay's chile limón our packs, limited period offer, valid in ct geographies, gredients: potato, edible vegetable oil molein oil), *seasoning (sugar, lodised salt, favour (natural and nature identical flavouring substances), ~spices , condiments, maltodextrin, lime juice powder, anticaking agent (551), edible vegetable oil (sunflower seed oil), flavour enhancers (627, 631), corn syrup solids), *as flavouring agent, contains onion and garlic"
Lays Potato Chips,drink,"potato, edible vegetable oil (sunflower oil, corn oil, and/or canola oil), spices and condiments (onion powder, chilli powder, dry mango powder, coriander powder, ginger powder, garlic powder, black pepper powder, turmeric powder, cumin powder, salt, black salt, sugar, tomato powder, citric acid, tartaric acid, natural flavors (e160b)"
Tip Top Roasted Dalia,drink,m.p. wheat
Natraj Auroville Special Mukhwas,food,"sugar coated fennel. green hari pati, rose petals & menthol"
Kurkure Solid Masti Masala,snack,"gram pulse flour, edible vegetable oil (cotton seed, corn, palmolein, ground nut and rice bran) gram pulse , lentil , peanuts , rice flakes , potatoes, tepary beans four, iodised salt, blac sat powder, spinach powder, rice powder, edible sarch *spices & condiments (red chill powder, turmeric powder mango powder, black pepper powder, ginger powder clove powder, mace powder, nutmeg powder, cumin powder fenugreek seeds powder, coriander powder, bay leaves powder, mint leaves powder, cardamom powder, asafoedq powder), acidty regulator (ins330), anticaking agert (ins551) and synthetic food colour (ins 133) &quot;used as natural flavouring substances allergern information: contains peanuts"
Tops Mixed Pickle,drink,"mixed vegetables (mango, lime, green chilli carrot turnip, ginger, lotus stem), lodised salt, aniseed, red chilli powder, fenugreek, spices & condiments, acidity regulator (330), preservative (211)"
Haldirams Lite Mixture,snack,"flaked rice,edible vegetable oil(palmolein/cotton seed),black chickpea,edible common salt,corn flakes,black salt powder,cumin seed powder, turmeric powder,pomegranate seed powder,dry mango powder,ginger powder,cinnamon powder,celery,mint leaves powder,cardamom powder,black cumin,red chilli powder,clove powder,acidity regulator"
Lays Lays 20rs,drink,"potato, edible vegetable oil (palmolein, sunflower oil), *seasoning (sugar, spices & condiments, maltodextrin, flavour (natural and nature identical flavouring substances), cheese powder, hydrolysed vegetable protein, flavour enhancers (627, 631), edible vegetable oil (palm, coconut), anticaking agent (551))"
WeiKFiELD Green chilli sauce,condiment,"water, potatoes, green chilli , sugar, salt, fresh coriander, acidity regulatory (ins 260), garlic, cornflour, stabilizer (ins 415), preservative (ins 211), spices & condiments"
Bikano Kesar Rasbari Barfi,snack,"sugar syrup [(water , sugar and sodium bisulphite (e223) ], cottage cheese (chena) , cardamon and saffron . contains permitted synthetic food colour (ie102)/ fd & c yellow no.5) and [(e110) / fd & c yellow no.6]"
Knorr Cup-a-Soup Sweet Corn Veg,drink,"sugar, potato starch, &quot;dehydrated vegetables (corn . carrot flakes , leeks ), maltodextrin, lodised salt, hydrolyzed vegetable protein, thickener-415, natural (garlic), nature identical and artificial (com) flavouring substances, hydrogenated palm oil, spices and condiments, flavour enhancer-627&631, anticaking agent - 551"
Coca Cola Zero,drink,"carbonated water. acidity regulators (338,331(iii)), sweeteners (955,950), preservative (211), caffeine (9.2mg/1o0 g), colour (150d), flavours (natural flavoring substances)"
Britannia Cracker,snack,"refined wheat flour (maida) , refined palm oil & palmolein, raising agents [503(ii) & 500(ii)], iodised salt, milk solids, yeast, emulsifier (322), acidity regulators (330 & 334), dough conditioner (223) and improvers [1101(i) & 1100(i)] contains added flavours [natural and nature identical flavouring substances] (numbers in brackets as per international numbering system). & contains wheat, milk, soya g and sulphite"
Sundrop Peanut Butter Regular,drink,"roasted peanuts , sugar, hydrogenated vegetable oil, refined edible groundnut oil & iodized salt"
Monaco Cheeselings - Classic,snack,"wheat flour, edible vegetable oils, sugar, salt 2.8% cheese 1.8%, yeast, raising agents [503 (#), baking powder), invert sugar syrup, spices & condiments (mustard powder), acidity regulators lactic acid, malic acid, emulsifier (di-acetyl tartaric acid esters of mono and diglycerides of edible vegetable oils], dough conditioner [223] and improver (amylases & other enzymes (papain-1101)"
Nutty Bite Groundnut Bar,food,"groundnuts, jaggery"
GLAXO sensodyne fresh mint 75g,food,"aqua, hydrated silca, sorbitol, potassium nitraere glycerin, peg-6, sodium lauryl sulphate, aroma titanium dioxide, xanthan gum, cocamidopropyl betaine, swall sodium saccharin, sodium fluoride, sodium hydroxide. teeth do not use if you are allergic to any of the ingredients. symo nitrate, dire brus contains apnrox 927 nnm of availahle 12 ve"
Avene Eau thermale,food,"avene thermal spring water, nitrogen"
Nivea Soft Light Moisturiser,food,"aqua, glycerin, paraffinum liquidum, myristyl alcohol, butylene glycol, alcohol denat. 3.6% v/v. stearic acid, myristyl myristate, cera microcristallina, glyceryl stearate, hydrogenated coco-glycerides, simmondsia chinensis seed oil, tocopheryl acetate, lanolin alcohol (eucerit®), polyglyceryl-2 caprate, dimethicone, sodium carbomer phenoxyethanol, parfum. , 201.5"
Marks  Spencer Teriyaki Dip Sauce Marinade,condiment,sugar - water dark soy sauce (contains water soybeans. roasted wheat (contains cluten)) ginger purée garlic purée. cornflour concentrated lime juice. smoked salt crushed red chillies. ground ginger mirin rice wine (contains rice water alcohol glucose syrup)
Pintola Peanut Butter,drink,_peanuts_ 100%
PepsiCo Doritos Masala Mayhem Flavour,snack,"corn , edible vegetable oil (palmolein gil), sugar, *spices & condiments (garlic powder, onion powder, chilli, spice extract), rice flour, lodised salt, potassium chloride (508), citric acid (330). contains added flavour (natural and nature identical flavouring substances) &quot;used as natural flavouring agent. manufactured ry"
Cadbury Dairy Milk Chocolate Bar,snack,"sugar,milk solids(22%*),cocoa butter,cocoa solids, emulsifiers (442,476). contains added flavour (natural, nature identical and artificial (vanilla) flavouring substances) allergen information:contains milk. may contain treenuts & wheat"
PepsiCo Kurkure Naughty Tomato,drink,"rice meal , edible vegetable oil (palmolein oil), corn meal , gram meal , sugar, salt, tomato powder , *spices & condiments (chilli powder, onion powder, spices extract, black pepper powder, cinnamon powder, clove powder, ginger powder, garlic powder, nutmeg powder), beetroot powder, citric acid (ins 330). contains added flavours (natural and nature identical flavouring substances) *used as natural flavouring agent"
Gandour safari,food,"sugar, liquid glucose, rice flour, edible hydrogenated vegetable fat (palm, palm kernel, sesame), refined wheat flour (maida), edible vegetable oil(palm, sunflower oil), cocoa solids, milk solids, humectant(422), corn starch, iodised salt, emulsifier(322(¡), 471, 476), malt extract, yeast, raising agent [500(¡¡)), acidity regulator (330), improve enzyme [1101(¡)]"
britannia cake nut  raisin,snack,"refined wheat flour (maida), eggs, sugar, edible hydrogenated vegetable oil & palm lein oil raisins , humectants (420 & 422), orange peel, almonds , maltose syrup, invert rup butter (1.7%i milk solids, cake gel (emülsifiers &stabilizers (471 & 477) and humectiant(4201hof whie aising agents (3410), 450(i) &500(i)), baking powder, iodized salt and preservatives (202 & 282). ontains permitted natural (150c&150d) and synthetic (110, 102, 122, 132 & 133) food colours and added lavours (natural nature identical and artificial imilk, plum, fruit&vanilla) flavouring substances fat umbers in brackets as per international numbering system) ntains wheat, eggs, nut and milk. polyols may have laxative effects. carbohydrate protein saturated fatty nditions, lic. no. 10015043001129 omance nut & raisin"
Knorr sweet corn veg soup,drink,"ration: sugar, potrrotarck *dehydratedvegetables (corn , carrot flakes , leeks ), maltodextrin, lodised salt, hydrolyzed vegetable protein, thickener-415, hydrogenated palm oil, spices and condiments, flavour enhancer-627"
Healthfull Dried Cranberries,drink,cranberries sugar refined sunflower oil
Snickers Almond,snack,"milk chocolate coating : sugar, milk solids, cocoa butter, cocoa solids, edible vegetable fats &lt;5% (sal fat, palm oil), dextrose, emulsifier (ins 322); central filling : liquid glucose, almonds , sugar, hydrogenated vegetable oil (palm oil), milk solids, iodized salt, cocoa butter, cocoa solids, edible vegetable fats &lt;5% (sal fat, palm oil), dextrose, emulsifier (ins 322)"
Chings ching-s mix veg,food,"potato starch, dried glucose syrup, sugar, salt, dehydrated vegetables 9.2% (carrot, parsley, green peas, cabbage, broccoli), skimmed milk powder, flavour enhancer (e635), spices 1.3% (pepper powder, turmeric), onion powder, garlic powder, yeast extract, soy sauce powder (soybean, wheat, salt), thickener (e415), sunflower oil, acidity regulator (e330), anticaking agent (e551). store in a cool, dry and hygienic place. net weight: 15g allergy advice"
Nilons Soya chunks,drink,soya flour
makino 8908010213095,food,"com 68%), edible vegetable oil (palmolein oil / corn oil), padia chilli, beet root powder, sugar, salt, flavouring, papika heros & spices (garlic & curry powder), anticaking agent [tricalcium phosphate (ins 341iii)]) silicon dioxide (ins 551)], natural sweetener (steviol glycosides (ins 960), 0.01%). contains added flavours, natural and nature identical flavouring substances (sweet chilli pepper) allergen: contains soya products"
Lays lays potato chips,drink,"potato, edible vegetable oil (palmolein oil, rice bran oil), sugar , starch, lodised salt, &quot;spices & condiments (garlic powder, onion powder, chilli), cocoa solids, milk solids. contains added flavour (natural, nature identical &artificial (soy sauce) flavouring substances) &quot;ued a natural flavouring agent. potato chips proprietary food&quot; limited perod offer valid in select geographies only"
Mars Snickers,snack,"milk chocolate coating : sugar, milk solids, cocoa butter, cocoa solids, edible vegetable fats &lt;5% (sal fat, palm oil), dextrose, emulsifier (ins 322); centre filling : liquid glucose, peanuts , sugar, hydrogenated vegetable oil (palm oil), milk solids, lodized salt, cocoa butter, cocoa solids edible vegetable fats &lt;5% (sal fat, palm oil), dextrose, emulsifier (ins 322). contains vegetable fat in addition to cocoa butter. contains peanuts, milk, soy. may contain tree nuts"
fresh,food,"hypromellose (e464), sucralose (e955), magnesium aluminum silicate, polysorbate-80 (e433), propylene glycol (e152, menthol, cooling agent 23, mentha oil, xanthan gum, eucalyptus oil, thymol, methyl salicyte and color brilliant blue fcf (e133). contains permitted synthetic food colour and added flavour. storage: store at temperature not exceeding 25°c, protect"
Sukin Moisturiser,food,"aloe,rosehip,cocoa,shea,jojoba,avocado,wheat,vitamin e,horsetail,burdock"
Ching secret Dark Soy sauce,condiment,"water, lodised salt, soybean , sugar, natural colour (ins 150c), wheat, acidity regulator (ins 260), preservative (ins 202). allergen advice: contains wheat & soy. may contain nuts, sesame seeds, mustard and milk. da"
Hindustan Unilever Limited Boost,drink,"cereal extract [barley, wheat, millet), malted barley (extracted solids) , sugar, wheat flour (atta) milk solids , minerals, wheat gluten, natural colour (ins 150 acidity regulators (ins 501, ins 500(ii)], edible lodized salt, cocoa powder vitamins, soy protein isolate , nature-identical flavouring substances contains permitted natural colour and added flavour (nature identical flavouring substances). 500100 tengah +based on an independent study conducted in 2009, the number of shuttles completed by boost consuming children (aged 7-105 increased by 25% compared to 8% increase in children who consumed endurance. study published in j nutr. 141:2017-2023, 2011 fortified chocolate beverage, in a 20 m shuttle test measuring we a boost is a nourishing beverage to be consumed as a part of your daily diet and exercise plan. pet"
Fit and Flex mixed fruit granola,drink,"agredients: rolled oats , fos , rice flour, wheat flour , palm kernel oil , sugar (4.2 g), maze grits, maltodextrin, almond flakes , tender coconut powder, coconut milk powder, candied fruits (cranberry 3.7%, blueberry 3.7%), freeze dried fruits (strawberry 3%), salt, sodium citrate (ins 331) glycerin(ins 422), citric acid (ins 330), tocopherol (ins 307). contains added nature identical and artificial flavouring substances(mix berries & tender coconut) contains oligofructose (dietary fibre) 9.4 gm/100 gm allergen information: contains gluten,may contain traces of almond"
pepsico Mango delight,drink,"water, *concentrated mango pulp and alphonso mango pulp , sugar, acidity regulator (330). contains permitted natural colour (160a()) and added flavour (natural and nature identical flavouring substances)"
Big Basket Good Diet GoodDiet Protein Bar Coconut,food,"ingredients. whey protein isolate , fructo-oligosaccharides (prebiotic fibre) , dark chocolate (sugar, cocoa solids, emusifier (ins 3220, cashew butter, milk protein concentrate, butter, honey, hazelnuts and jowar millet crisp"
Fruit of the Earth Coconut Oil,drink,"froit of the earth coconut oil is 100% pure and natural. tism he finest handpicked dried coconut (copra) from the wotd e malabar coast of kerala. there are no additives and chemicat tto ensure its purity. multiple filtration process produces der di retaining all its natural goodness, freshness and aome contents: coconut oil (edible grade) oproimate"
Soul flavours kachi ghani Cold pressed mustard oil,drink,"mustard oil,vitamin a,vitamin d2,vitamin e"
Soul Flavor (Modicare) Cow Ghee,food,hdentmikfat manutactured under mostygesic condtions untouched by hand
SUHANA MISAL MASALA,food,"chilli, coriander, edible common salt, coconut, sesame, onion, refined cottonseed oil, turmeric spices and condiments"
annai aravindh asparagus,food,thhhcbnnnn
society Sweet spicy mango pickle,drink,"mango , sugar, jaggery , red chilli powder, fenugreek, mustard, lodised salt, fennel seeds, coriander seeds, curmin, corn oil, asafoetida, cinnamon, clove, turmeric powder, acidity regulators (ins 330, ins 260) & preservative (ins 211). 8 901095 000482 picture does not represent product inside the pack"
winkles Pineapple Cake,snack,"refined wheat flour (maida), eggs, sugar, bakery shortening, water, fruit products [fruit cuts (papaya, sugar, acidity regulator (ins 330), preservative (ons 2113, sinthetic food colour (ins 110, ins 102, ins 143, ins 124)) and pineapple cuts ), palm oil, humectants (ims 422, ins 420), liquid glucose, mixed fruit jam, milk solids, invert syrup, cake gel (ins 471, ins 477, ins 1520, ins 420, ims 412), raising agent [ins 500(h)] & baking powder, edible common salt, preservatives (ins 282, ins 200), artificial flavour (pineapple and vanilla), acidity regulator (ins 260), stabilizer (ins 412, ins 415), emulsifiers (ins 471, ins 477, ins 322) and artificial food colour (ins 102). (numbers in brackets as per international numbering system). contains wheat, milk, egg and soy ingredients. polyols may have laxative effects. keep your city clean 110 net weight: mrp: (incl., of all taxes)/(#pe lot no.: manufacturing date: use by: caring for your cakes: dry and hygienic condition (e) southern bakeries pvt. ltd: regu. office & works: plot n industrial area, 2nd phase, bangalore urban (karnataka)-5"
WAI WAI X-press Instant Noodles Vegetable Flavour 70g,drink,"wheat flour, palm oil, lodized salt, wheat gluten, thickener (e412), softening agent (e500ii), acidity regulator (e170i, e451i), lodized salt, flavour enhancers (e621, e627, e631), sugar, onion, maltodextrin (e1400), coriander, curry powder (turmeric, cumin, pepper, coriander, chilli, ginger, cinnamon, paprika) , garlic, chilli, turmeric, cumin, soybean, wheat, salt, maltodextrin and natural colour (e150d), acidity regulator (e330), black pepper, ginger, cinnamon, clove, bay leaf, nutmeg, cardamom, mace, natural colour (150d), edible vegetable oil (palm olein), onion"
Glucon-D Regular,drink,"dextrose (glucose) , minerals (calcium phosphates) and vitamin d₂"
paper boat Santra,drink,"water, sugar,orange juice concentrate *, orange cells *, acidity regulator (citric acid), natural flavouring,nature identical flavouring, iodised salt, antioxidant (ascorbic acid), lemon juice concentrate,black pepper powder,black salt. *reconstituted 38% orange juice"
coca cola Sprite 750ml,drink,"carbonated water, sugar, acidity regulators (330, 331(i)), preservative(211), sweetener (960), flavours (natural flavoring substances)"
